ds,yhat,Commodity,Market
2022-02-25,57.873649902269925,Wheat,Nakuru Wakulima
2022-02-28,66.9599478266113,Wheat,Nakuru Wakulima
2022-03-01,62.236652638340416,Wheat,Nakuru Wakulima
2022-03-02,55.20172131387659,Wheat,Nakuru Wakulima
2022-03-03,56.907130774754826,Wheat,Nakuru Wakulima
2022-03-04,61.491643798258124,Wheat,Nakuru Wakulima
2022-03-08,63.5642912851901,Wheat,Nakuru Wakulima
2022-03-09,55.89484031572563,Wheat,Nakuru Wakulima
2022-03-10,56.96292648033611,Wheat,Nakuru Wakulima
2022-03-11,60.94317096921031,Wheat,Nakuru Wakulima
2022-03-14,66.95193108061152,Wheat,Nakuru Wakulima
2022-03-15,61.292676828749926,Wheat,Nakuru Wakulima
2022-03-16,53.419434295325786,Wheat,Nakuru Wakulima
2022-03-17,54.41104778021176,Wheat,Nakuru Wakulima
2022-03-18,58.42869203329878,Wheat,Nakuru Wakulima
2022-03-21,65.18841597983838,Wheat,Nakuru Wakulima
2022-03-22,59.959477939528774,Wheat,Nakuru Wakulima
2022-03-23,52.58220290123741,Wheat,Nakuru Wakulima
2022-03-24,54.11709693014993,Wheat,Nakuru Wakulima
2022-03-28,67.13034585723763,Wheat,Nakuru Wakulima
2022-03-29,62.372400065028614,Wheat,Nakuru Wakulima
2022-03-30,55.3930066459107,Wheat,Nakuru Wakulima
2022-04-05,65.40993751796034,Wheat,Nakuru Wakulima
2022-04-06,58.08098696236582,Wheat,Nakuru Wakulima
2022-04-07,59.48097537811502,Wheat,Nakuru Wakulima
2022-04-11,70.29657570145118,Wheat,Nakuru Wakulima
2022-04-12,64.64406525575741,Wheat,Nakuru Wakulima
2022-04-13,56.68937397246873,Wheat,Nakuru Wakulima
2022-04-14,57.511473121481814,Wheat,Nakuru Wakulima
2022-04-20,53.26502973325021,Wheat,Nakuru Wakulima
2022-04-21,54.299936510279494,Wheat,Nakuru Wakulima
2022-04-22,58.41112404514445,Wheat,Nakuru Wakulima
2022-05-16,74.59420539109512,Wheat,Nakuru Wakulima
2022-05-17,68.56854471053974,Wheat,Nakuru Wakulima
2022-05-19,60.60281782898217,Wheat,Nakuru Wakulima
2022-05-20,63.88076779852859,Wheat,Nakuru Wakulima
2022-05-23,68.25220878254903,Wheat,Nakuru Wakulima
2022-05-25,53.96863762772419,Wheat,Nakuru Wakulima
2022-05-26,54.74390100501478,Wheat,Nakuru Wakulima
2022-05-27,58.66744775487046,Wheat,Nakuru Wakulima
2022-05-30,65.9510149185922,Wheat,Nakuru Wakulima
2022-06-02,56.619311741882036,Wheat,Nakuru Wakulima
2022-07-20,98.6744709245468,Wheat,Nakuru Wakulima
2022-07-21,105.63750387125205,Wheat,Nakuru Wakulima
2022-07-22,115.09698179771439,Wheat,Nakuru Wakulima
2022-07-25,134.82140759874534,Wheat,Nakuru Wakulima
2022-07-26,132.45037369350956,Wheat,Nakuru Wakulima
2022-07-27,127.10218330121052,Wheat,Nakuru Wakulima
2022-07-28,129.80187939250152,Wheat,Nakuru Wakulima
2022-08-01,138.74178617372468,Wheat,Nakuru Wakulima
2022-08-02,130.96551708615334,Wheat,Nakuru Wakulima
2022-08-03,120.2877789723986,Wheat,Nakuru Wakulima
2022-08-04,117.84342731094989,Wheat,Nakuru Wakulima
2022-08-15,77.2351505509378,Wheat,Nakuru Wakulima
2022-08-16,68.93012089288139,Wheat,Nakuru Wakulima
2022-08-18,58.62488240627318,Wheat,Nakuru Wakulima
2022-08-19,61.90084304711588,Wheat,Nakuru Wakulima
2022-08-22,70.247737072777,Wheat,Nakuru Wakulima
2022-08-24,61.56898415407583,Wheat,Nakuru Wakulima
2022-08-25,65.77851151904095,Wheat,Nakuru Wakulima
2022-08-26,73.43034102047449,Wheat,Nakuru Wakulima
2022-08-30,91.75325021515843,Wheat,Nakuru Wakulima
2022-08-31,88.64975962930787,Wheat,Nakuru Wakulima
2022-09-01,94.30227473437789,Wheat,Nakuru Wakulima
2022-09-02,102.76919662034355,Wheat,Nakuru Wakulima
2022-09-05,120.71109877205483,Wheat,Nakuru Wakulima
2022-09-07,113.0653548133813,Wheat,Nakuru Wakulima
2022-09-09,121.77281124747336,Wheat,Nakuru Wakulima
2022-09-12,171.08768491664398,Wheat,Nakuru Wakulima
2022-09-16,116.66453359026366,Wheat,Nakuru Wakulima
2022-09-19,116.16966551155471,Wheat,Nakuru Wakulima
2022-09-20,107.93845790086101,Wheat,Nakuru Wakulima
2022-09-22,95.90840877689602,Wheat,Nakuru Wakulima
2022-09-23,97.3354361874925,Wheat,Nakuru Wakulima
2022-09-26,96.67859694767145,Wheat,Nakuru Wakulima
2022-09-27,89.19083056947203,Wheat,Nakuru Wakulima
2022-09-29,79.2710238022989,Wheat,Nakuru Wakulima
2022-09-30,82.06398075309976,Wheat,Nakuru Wakulima
2022-10-05,72.35381650468236,Wheat,Nakuru Wakulima
2022-10-06,73.3588835260614,Wheat,Nakuru Wakulima
2022-10-07,77.36606027776382,Wheat,Nakuru Wakulima
2022-10-11,78.8193383859422,Wheat,Nakuru Wakulima
2022-10-12,71.14655430083195,Wheat,Nakuru Wakulima
2022-10-13,72.22836469012377,Wheat,Nakuru Wakulima
2022-10-18,75.7109530588501,Wheat,Nakuru Wakulima
2022-10-19,67.34870893076999,Wheat,Nakuru Wakulima
2022-10-21,71.0003143433703,Wheat,Nakuru Wakulima
2022-10-24,74.87785336851002,Wheat,Nakuru Wakulima
2022-10-25,68.52324323367145,Wheat,Nakuru Wakulima
2022-10-31,68.96037997260716,Wheat,Nakuru Wakulima
2022-11-04,61.086018509575794,Wheat,Nakuru Wakulima
2022-11-07,69.27945933839396,Wheat,Nakuru Wakulima
2022-11-08,64.53973795811498,Wheat,Nakuru Wakulima
2022-11-09,57.63283960874118,Wheat,Nakuru Wakulima
2022-11-10,59.599305062033594,Wheat,Nakuru Wakulima
2022-11-11,64.56273776978668,Wheat,Nakuru Wakulima
2022-11-14,73.64648283597138,Wheat,Nakuru Wakulima
2022-11-15,68.92805357120743,Wheat,Nakuru Wakulima
2022-11-16,61.89582830721773,Wheat,Nakuru Wakulima
2022-11-17,63.5995794304959,Wheat,Nakuru Wakulima
2022-11-28,73.322860592931,Wheat,Nakuru Wakulima
2022-11-30,59.7488068515424,Wheat,Nakuru Wakulima
2022-12-01,60.812955669103054,Wheat,Nakuru Wakulima
2022-12-02,64.87877125302685,Wheat,Nakuru Wakulima
2022-12-05,71.89044412850883,Wheat,Nakuru Wakulima
2022-12-06,66.80913041162384,Wheat,Nakuru Wakulima
2022-12-08,61.37502036534519,Wheat,Nakuru Wakulima
2022-12-09,66.18420064330797,Wheat,Nakuru Wakulima
2022-12-13,70.90932429210214,Wheat,Nakuru Wakulima
2022-12-14,64.21905948998996,Wheat,Nakuru Wakulima
2022-12-15,66.33084969150212,Wheat,Nakuru Wakulima
2022-12-16,71.41281132308892,Wheat,Nakuru Wakulima
2022-12-19,80.56136313846297,Wheat,Nakuru Wakulima
2022-12-20,75.76975047213054,Wheat,Nakuru Wakulima
2022-12-21,72.41726814699194,Wheat,Nakuru Wakulima
2022-12-28,67.1387819743109,Wheat,Nakuru Wakulima
2022-12-29,67.73153107929254,Wheat,Nakuru Wakulima
2023-01-09,70.2486891902969,Wheat,Nakuru Wakulima
2023-01-10,64.64021670064243,Wheat,Nakuru Wakulima
2023-01-13,62.573032339450236,Wheat,Nakuru Wakulima
2023-01-16,70.73726371874154,Wheat,Nakuru Wakulima
2023-01-17,66.01940369684507,Wheat,Nakuru Wakulima
2023-01-18,59.14130516020918,Wheat,Nakuru Wakulima
2023-01-19,61.14502362186667,Wheat,Nakuru Wakulima
2023-01-20,66.15515595890898,Wheat,Nakuru Wakulima
2023-01-23,75.4363086525402,Wheat,Nakuru Wakulima
2023-01-24,70.79961103528022,Wheat,Nakuru Wakulima
2023-01-25,63.85378300998332,Wheat,Nakuru Wakulima
2023-01-26,65.64565424008129,Wheat,Nakuru Wakulima
2023-01-30,77.88776303932642,Wheat,Nakuru Wakulima
2023-01-31,72.57263765448589,Wheat,Nakuru Wakulima
2023-02-06,75.33044103605448,Wheat,Nakuru Wakulima
2023-02-07,69.47267698966208,Wheat,Nakuru Wakulima
2023-02-08,61.3186437631127,Wheat,Nakuru Wakulima
2023-02-09,62.07075756553977,Wheat,Nakuru Wakulima
2023-02-10,65.83596837197965,Wheat,Nakuru Wakulima
2023-02-13,71.8195288263409,Wheat,Nakuru Wakulima
2023-02-14,66.34701170711436,Wheat,Nakuru Wakulima
2023-02-15,58.744814311837175,Wheat,Nakuru Wakulima
2023-02-16,60.079959473764596,Wheat,Nakuru Wakulima
2023-02-17,64.49980794614852,Wheat,Nakuru Wakulima
2023-02-20,72.6980184162175,Wheat,Nakuru Wakulima
2023-02-21,67.9094290069004,Wheat,Nakuru Wakulima
2023-02-22,61.024970098727785,Wheat,Nakuru Wakulima
2023-02-23,62.979855519919255,Wheat,Nakuru Wakulima
2023-02-27,77.09855341240844,Wheat,Nakuru Wakulima
2023-02-28,72.44143505341862,Wheat,Nakuru Wakulima
2023-03-02,67.29238268834656,Wheat,Nakuru Wakulima
2023-03-06,79.76194314656202,Wheat,Nakuru Wakulima
2023-03-07,74.50681934760009,Wheat,Nakuru Wakulima
2023-03-08,66.92070584362453,Wheat,Nakuru Wakulima
2023-03-09,68.0737698285031,Wheat,Nakuru Wakulima
2023-03-10,72.12284478241592,Wheat,Nakuru Wakulima
2023-03-13,78.22020165460889,Wheat,Nakuru Wakulima
2023-03-14,72.54760138615383,Wheat,Nakuru Wakulima
2023-03-16,65.5762203860528,Wheat,Nakuru Wakulima
2023-03-17,69.52041252888218,Wheat,Nakuru Wakulima
2023-03-20,75.97633847345737,Wheat,Nakuru Wakulima
2023-03-21,70.62972370491852,Wheat,Nakuru Wakulima
2023-03-22,63.13303086696362,Wheat,Nakuru Wakulima
2023-03-24,69.02829557103298,Wheat,Nakuru Wakulima
2023-03-27,77.19500749190516,Wheat,Nakuru Wakulima
2023-03-28,72.38520921088174,Wheat,Nakuru Wakulima
2023-03-29,65.37476216914773,Wheat,Nakuru Wakulima
2023-03-30,67.20993352679342,Wheat,Nakuru Wakulima
